content,score
"Ini mah saran pak gojek ya, sekiranya kalo ngasi orderan ke driver jangan auto lah pak gojek, biar driver aja tentuin dia mau ambil atau tidak,, sebagai customer ga enak rasanya kalo dapet driver yg kesannya keberatan dapet order tp tetep d ambil karna ga bisa di tolak. kasih lah opsi driver mau ambil atau tidak. sekiranya ga mau ambil ya jgn di kasih auto, nanti rating nya pulak yg jelek. kasih lah sama yg ga keberatan ambil order. sekedar saran pak gojek.",3
terimakasih banyak,5
jarak cuma 4 km tapi ongkir 40k? kikir,1
susah dapat driver padahal makanan uda jadi,1
"Tampilin juga dong rating customer. enak banget driver bisa kasih rating jelek ke customer cuma karena ga ngasih tip, sedangkan cust mau rating jelek sesuai experiencenya takut ngehambat rezeki si driver/didemo, padahal drivernya sendiri yg mutus rezekinya itu.",2
"sebaiknya dalam pengaturan gofood diberi estimasi waktu jangan terlalu lama,, bisa dengan 12 menit kalo ga ada driver bisa dilakukan pembatalan... menurut saya 1 jam dalam mencari driver itu lamaa bangett",1
tolong diperbaiki pelayanannya. klo memang susah cari driver. kasih pilihan batalin di apk gofood. udah nunggu 2 jam an malah sesusah itu. klo dirasa susah jari driver minimal aplikasinya perbaiki .,1
lama bnget dpt drivernya mentang2 hujan pd ga mau?? sampe setengah jam saya nunggu,1
"yang ngambil lama banget, aku pesen makan dari jam 19:30, sampe jam 21:35 masih belom di ambil juga kan ngeselin",1
"dapet notif terlalu banyak cancle, trus akun bakal di nonaktifkan. padahal driver nya yg pada nyuruh cancle. aneh emng. disuruh cancle diem aja, kita yg cancle kena pelanggaran",2
lebih cepat dan aman,5
"makin lama pelanyan nya tidak memuaskan,!!!!",1
saya puas,5
"sekelas perusahan besar setidak nya menyediakan pelayan customer service via telfon yg real orang bukan cuman ai ai tidak menyelesaikan masalah, hanya mengulang"" yg sudah di program keluhan kita tidak terselesaikan hanya dengan ai chat.",3
"kalo perjalanan kurang dari 1km ga pernah dapet driver, bintang 1 buat anda",1
"hi kak kenapa aplikasi gak ada notif atau bunyi ketika ada telpon dari driver padahal semua pengaturan telpon lokasi dering dll saya ijinkan dan saya aktifkan tapi tetap tidak ada notif ketika driver chat atau telpon, gak mungkin dong saya setelah order nengok aplikasi ampek makanan Dateng?",2
"gapernah dapet driver kalau malem, please banget",1
"aku selalu pakai gojek tapi kesel kadang pesen gofood nunggu dapat driver sampe sejam, mau dibatalin juga gak bisa, mau pesen makanan lain juga ntar tiba2 udah nunggu sejam malah dapat driver. keburu emosi makan angin!!!",4
banyak diskonnya,5
ok,5
"saya gabisa login ke akun lama kendala verifikasi wajah,gabisa ganti akun email bila akun email sudah tdk kepakai",1
ok ok ok,5
sistem nya jelek gabisa cancel pesanan yang ga sengaja pdhl hitungan detik aja,1
"sangat buruk, sy susah mendapatkan driver dan sampai resto nya tutup sy tetap tidak bisa membatalkan pesanan nya!! TOLONG FITUR NYA DI UBAH!! SUKA GEDEG SM GOJEK KALAU RESTO NYA UDH TUTUP DAN STATUS NYA MASIH MENCARI DRIVER, TOLONG AGAR ADA FITUR DAPAT DI BATALKAN JIKA STATUS RESTO SDH TUTUP!!!!",1
lama banget cari driver nya,1
ok mantap,5
"ini aplikasi yang sangat buruk, masa denda keterlambatan langsung 50k/ perhari, saya sudah cari kontak CS mau bayar gak bisa karena hp hilang, mau login pakai hp lain jg susah karena butuh OTP, ini APLIKASI SEPERTI RINTENIR NYEKEK CUSTUMER, SESUAI SAMA NAMANYA DOMPET ANAK BANGSA TERNYATA auto UNINSTAL SELAMANYA.",1
muncul mulu,1
good,5
bolehlah,5
"Sudah 60 menit lebih menunggu, tapi driver go food ga dapet2, anak saya keburu sakit perut karena ga makan, kalau memang ga bsa ya tolong segera batalkan thanks",1
Bagus,4
bagus,5
Sangat sulit mendapatkan driver.,1
oke,5
tidak menerima pelanggan!,1
sgt baik,5
"PESANAN MAKANAN GUA UDAH SEJAM NUNGGU MALAH DIBATALIN GEGARA GAK ADA DRIVER, TRUS PAS MESEN ULANG HARGA NYA MALAH NAIK 10K, APLIKASI SEKEM",1
"Selalu lama , lambat , susah nyari driver",1
segala nya jadi serba mudah .makasih,5
menyenangkan,4
"layanan cepat ,nyaman dan murah",5
خير جدا,5
sangat membantu mempermudah,5
luar biasa,5
"gajelas, driver cancel mulu, sistem gajelas",1
"iseng pake gopaylater buat naek gojek ,, makenya cmn 20rb lupabayar telat 1 hari dendanya 50rb .. GILAAA",1
saya akhirnya bisa makan hehehe :v,5
ramah,5
"ini aplikasi GOJEK kenapa dah! Tiap gopey ku ada saldonya, slalu dpt double orderan. kasih abng/Bpk Gojek yg dtg tpi penumpangnya Uda pergi ama driver yg pertama dtg",2
aplikasinu bagus dan pelayanan juga cepat banget,5
mantap,5
mantap aplikasi senior👌,5
aplikasi gak jelas.. denda gopaylater aja 50 ribu ada gila2nya kurasa. gak ikhlas aku lahir batin bayar denda itu,1
aplikasi keren,5
penjemputan..driver nyaman TDK bikin bingung customer,5
Lebih praktia untuk segala pembayaran dan lebih cepat transaksi nya,5
upgrade gopay plus yg id pernah terdaftar susah & tidak ada solusi,1
aneh tarif berubah sendiri,1
"selalu kasihan sama driver klo jemput jauh antar deket ga ada argo tambahan.sebagai customer kecewa. pihak gojek tak adil sama driver. keringat driver yg harus nya disejahterakan malah makin dikuras.mang sparepart kendaraan murah. walaupun hujan deras tetep aja ga kasihan aplikasinya driver harus jemput jauh,argo tetep aja murah.",1
"aplikasi yg sdh banyak membantu saya ,, apalagi di gofood banyak diskonnya ,, mau bayar tagihan jdi lebih mudah",5
"Selama ini, masih yang terbaik",5
"asam lambung gue naik setan nungguin makanan, kalo gbs yaudah cancel aja napasi yaelah",2
Diskonnya gede,5
oke,5
"aneh, go send kok nunggu sejam ga dapet dapet driver, mau alasan gada driver di skitar?, orang gua tinggal di Kemayoran Jakpus, driver noh bejibun banyaknya, emang sistem lu yang ngaco aja",1
"Aplikasi yang sangat mulifungsi, berguna mempermudah hidup.",5
Dengan adanya gojek sangat membatu yg notabennya aku yg kemana mana sendiri.. sejauh ini paling baik.. pertahankan yaaa,5
Saya sudah Update tapi mengapa di minta Update lagi ya? Tolong di perbaiki sistemnya. Terimakasih.,4
Aplikasi Tolol,1
Semalem kami balik ke Jakarta dr Kota Klaten naek kereta Abang GoCar jemput saya dgn ramah dan jln dg cepat sampai je rumah.,5
top,5
good...sangat membantu sekali,5
"Selamat sore gojek sya ingin mengadu atas gangguan gopay pinjam saya kenapa tidak bisa di gunakan ya, ada tulisan pengajuan di tolak tidak hilang hilang jadi tidak bisa di gunakan lagi gopay pinjamnya, awal masalahnya waktu itu saya memang ingin mengajukan pinjaman tapi kemudian sya tidak menjadi mengambil pinjaman itu tapi kenapa jdi tidak bisa di gunakan lgi mohon info dan perbaikannya",4
"Aplikasi plg top, plg murah byk promo.",5
"hati"" yg pinjam uang jngn mau pinjam disini .. telat 2harii dc nya kga punya adab .. nagih nya gila"" an bahasa nya kasar ..",1
enaaak... 👍🏻,5
"enak, mudah, praktis",5
baik,5
drivernya ramah harga bersahabat,5
mantap,5
mudah dan cepat,5
aplikasi nya bagus hanya kenapa fitur batalin gak ada lagi masalah terkadang saya memesan sesuatu makan dari jam jam 1 masa sampe baru jam3 karena fitur batal gak tersedia kalo bisa jika 30 menit tidak ada driver bisa dibatalkan,1
"PARAH SAYA MENUNGGU GO FOOD SAMPAI 3 JAM DARI ESTIMASI YG DI JANJIKAN 4O MENIT EXPRES DIBATALIN SUSAH . SAYA HAPUS APK NYA . PADAHL SAYA SUDAH 1000 LEBIH MEMESAN MENGGUNAKAN GOJEK. KALI INI KECEWA , KITA INGIN MENGJUKAN KELUHAN HANYA BOT SAJA YG DI TAMPILKAN , TIDAK NYAMBUNG",1
ok,5
gw pesen makanan mahalan ongkir nya daripada makanan nya,1
"gojek nya lambat, kurang gercep",1
"akhir2 ini iseng banget ni gojek, kasih notif "" pesananmu sampai dalam 15menit"". padahal gak pesen gofood sama sekali. maaf kasih bintang 1 yang sebelumnya bintang 5.",1
makin susah dapat driver sekarang,2
memudahkan untuk kesana kemari,5
"Sangat Sulit dapat DRIVER sekarang , lambat.",1
"susah dapat driver, dan notifikasi berbeda pada saat membuka aplikasi contohnya di Notifikasi ""driver sedang meluncur ke restoran"" sedangkan saat membukanya belum dapat driver sama sekali",3
"stress, ngasih denda gopay later per bulan 50k. ngga ada otak. sakit hati bgt. nyesel pernah daftar tu barang. make ga seberapa telat sehari doang. emang kapitalis",1
"saya pesan online food, tapi kenapa yaa susah banget dapat drivernyaa? bahkan saya ditolak 5 kali dalam sehari dengan resto yang berbeda, cuman gara-gara susah dapat driver, bayangin udah lama nunggu tapii ga dapat driver sama sekaliii, kecewaa!!",1
demi apa nyari driver nya lama banget mana gabisa di batalin sampe kelaparan gila,1
makin kesini makin jelek,1
Aplikasi Sangat membantu dan bermanpaat.,5
tingkatkan terus pelayanan,5
top,5
kenapa skrg gak bisa masukkan nominal yg diinginkan saat kasih tip ke driver? dan tip dari aplikasi hanya bisa dilakukan melalui gopay tidak bisa dari metode pembayaran lainnya sama seperti metode pembayaran ke toko. Padahal saya gak sering top up gopay dan seringnya memakai metode pembayaran kartu debit.,4
"sangat bagus, sampai tepat waktu",5
terbantukan,5
sangat memuaskan,5
"Makin payah, vocer hanya bisa terpasang satu. NOTIF LAMBAT, JIKA PESANAN TIDAK TERSEDIA HARUSNYA SEBELUM RESTO TERIMA ORDER SUDAH HARUS KONFIRMASI !",1
prioritas kok ada dua pengiriman?,1
"sangat baik, sopirnya jujur , laptop ketinggalan dimobil, diantar kembali",5
"ada driver grab yang bernama NANA MULYANA mobil Toyota Calya| B1047COT , SANGAT SANGAT TIDAK RAMAH TERHADAP PENUMPANG, TIDAK SOPAN, MARAH MARAH SAMA PENUMPANG, SAMPAI NGATAIN PENUMPANG TIDAK ADA ADAB, TOLONG GOJEK DI TINDAK LANJUTIN JANGAN BIARKAN DRIVER SEPERTI INI DI BIARKAN SAJA, SAYA SANGAT KECEWA TERHADAP PELAYANAN NYA ATTITUDE NYA NOL BANGETT SANGAT JELEKK👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎 kalo dapet driver ini cancel aja guys, dia sangat tidak ramah, pelayanan nya nol banget👎👎",1
"sangat membantu, dgn tingkat akurasi alamat penjemputan dan tujuan yg ckp akurat. Serta layanan yg mantap, 😊👍👍",5
Mantap....,5
good,5
oke banget aktivitas saya terbantu saat darurat,5
aplikasi nya gojek sangat bagus dan praktis,5
senang selama ini hidup gw ditemani gojek,5
"Akun di blokir dari pihak Gopay, saat ingin payment tidak bisa karena semua dompet di blok tapi denda keterlambatan tetap bayar..",1
lebih menyenangkan perjalanan pakai gojek,5
sangat memuaskan,5
sangat recommended banget untuk keluarga dan teman teman semua,5
"APLIKASI DUNGU!!!! GARA2 ADA MUTASI AKUN, MALAH AKUN2 LOKAL YG PD ANYEP!!!",1
"dulu aku pernah rating jelek, skg gojek sudah baguss banyak promo lagi terima kasih gojek",5
good job,5
mudah dan gampang di aksesnya.,5
Pelayanan yang mengecewakan hari ini,1
profesional,5
efisien,5
maksih gojek semoga sukses selalu aamiin,5
sangat baik,5
"parahh dendanya gede banget,telat 1 hari dendanya 50rbu gblk",1
"sangat menyebalkan, drivernya pilih-pilih pekerjaan, saya masih didalam kota dia tidak mau terima karena biaya cuma 25rb dan katanya saya terlalu jauh. saya di kota palopo",1
simple,5
driver2 kalian yg gk niat kerja tu di blok aja,1
bagus dan nyaman,5
"Aplikasi sudah bagus tapi map-nya masih sedikit bermasalah dan tidak sesuai dengan titik antar, walau gak terlalu jauh dari titik tapi agak mengganggu, harap diperbaiki",2
ga bakalan pakai gojek lagi !!!,1
ok,5
bagus 👍🏻 kita engga keluar rumah lagi buat beli apa-apa,5
"ko sekarang ga bisa ter singkron sama share lokasi dari WA, biasa nya kalau saya mau ke tujuan dan alamat nya dapat dari share lokasi di situ muncul logo gojek. tapi sekarang ga ada, jadi harus tulis manual",5
sangat bagus,5
rata-rata baik dan ramah,5
Update versi 5.45.1 Semoga lancar jaya tdk banyak Bug,5
profesional dan ramah,5
aplikasi tidak buruk,5
"Makanan Sudah disiapin Resto, Sedang mencari Driver mulu, keburumati kelaparan nungguinnya. perbaiki sistemnya!",1
kemudahan dalam transportasi,5
sangat membantu untuk keperluan sehari hari,5
"aplikasi aneh, udah 5 kali pesan selalu ga dapat driver",1
mantap bantuan direspon sgt cepat,5
"kalo ada kendala lama cari driver, customer suruh nunggu 30 menit aja ga perlu smpe 1 jam!!!!!!!!!!!! mana batalin jg harus nunggu 1 jam!!!! 1 jam nunggu cari driver doang blm nunggu masak & otwnya!",1
Puas dengan pelayanan gojek. Semoga semakin sukses dan Memberikan pelayanan optimal ke Konsumen,5
lama sekali menemukan driverr,1
susah amat sekarang dapet driver nya,1
lama sekali menunggu,1
saya memesan gocar pas mau sampai di titik jemput hp saya jatuh dan mati saya tidak menemukan dimna driver nya saya kira bakal di Cansel Ter nyata driver malah mengambil keputusan perjalanan sudah selesai dan saldo saya Ter potong tanpa mengantar saya ke tempat tujuan,1
"kebijakan nya tolong diperhatikan kembali, saya sudah memesan pesanan makanan selama 1 jam tidak kunjung mendapat driver tapi juga tidak bisa dicancel???? SARAN: sebaiknya makanan jangan dibuat terlebih dahulu sebelum mendapatkan driver!!!!",2
"sudah seharian saya pesan gofood, resto sudah konfirmasi pesanan, saya juga sudah nunggu lama, tapi tiba-tiba dicancel sepihak sama aplikasi. siangnya saya coba order lagi dan terjadi lagi. ini sudah malam dan masih seperti itu???",1
mantap,5
dua kali pesan nunggu 50 menit dua dua nya gak ada yang sampai . menunggu 50 menit +50 menit hanya untuk di batalkan,1
"tolong perbaiki kao emng resto udh tutup tapi driver belum dapet"" ,tolong kasi sistem otomatis batal jadi gausah lama nunggu"" buat sampe dijam tertentu untuk batalin sendiri!!!",2
"masa harus nunggu satu jam pesenan gofood nya baru bisa dibatalin, mana nunggu driver ga dapet dapet.. harus nya gaperlu sampe satu jam, kalo memang disekitar gk ada driver munculin lah opsi batal",3
"dah mulai ga jelas ni aplikasi, mesan gofood di suruh tungguin 1 jam paling lambat akan dapat voucher, sesudah 1 jam langsung di batalin sama pihak gofood tanpa dapat voucher, kan otak nya taruh di dengkul, ngasih bintang 5 biar keliatan aja nih komen sialan",5
"Semakin lama saya semakin jarang pake gojek. Untuk layanan gofood, saya akui itu layanan yg paling memuaskan di gojek. Paling tidak memuaskan itu layanan gocar. Sering bgt susah dpt driver, apalagi srg minta cancel duluan. Untuk tampilan aplikasinya bagus, gmpg dipakai dan dimengerti. Uda pakai sejak lama dan blm ada kesusahan pengoperasian.",4
"Apk anehh ada rute yang lebih deket malah milih rute yang lebih jauh otomatis biaya jadi lebih tinggi hadehh, sama jangan dipisah donkk apk gopay sama gojek ngeribetin aja jadiin satu apk aja biar user experiencenya enak pelanggan juga jadi bisa ngakses banyak fitur di satu apk aja",1
good,5
"aplikasi apaan, driver meminta cancel pesanan gofood saya alasan resto sdh tutup, pihak resto mengkonfirmasi juga meminta cancel pesanan alasan resto berada di luar kota, saya dan driver sdh hubungi cs tpi tidak ada solusi pembatalan dengan alasan resto sdh menyiapkan pesanan.",1
lama cot,1
"lg coba2, sekalinya pesen makanan, gagal ggara ga ada ojolnya... 👎👎👎👎👎",1
"Kalau terlambat dikasih kompensasi berupa voucher diskon, sedangkan terlambat + dibatalin ga cuma dikasih harapan palsu. udah dua kali dibatalin padahal nunggu lebih dari sejam karena driver tidak ditemukan, tetap aja ga di kasih apa apa. semoga perlakuan kalian diberi ganjaran",1
kenapa sekarang jarang2 banget dapet promo goride gofood😭😢,1
"sip, msh bisa jalan di hp ane walaupun lawas",4
gooodd,5
Ok,5
gampang digunakan,5
"paling benci di menu gofood kalo semisalnya kalian gaada driver buat ambil pesanan jangan maksa kami customer buat nunggu sampe Berjam jam, tolong hargai waktu kami lah kalo kalian gak sanggup memberikan driver lebih cepat jangan halangi kami buat batalkan pesanan yang Uda lebih dari 20menit",1
lebih hemat,5
sudh gk d ragukan lagi gocar'y.sukses trus utk param mitra'y.amiiinnnnn,5
apk sgt membantu cepat dan pelayan baik,5
Kenapa Sekarang susah pesan Gosend,1
"lama bet dapat driver nya , ketika sudah dapat malah di cancel oleh driver nya",1
masak mau login harus nunggu 30 jam,2
penemuan driver lama,4
bagus,5
"makin kesini makin berkurang pelayanan nya,, sekarang gofood proses antar nya lama bgt nunggu nya,, kalo dulu sbentar lgsng dpt driver, lgsung cpt sampai,",1
Sangat membantu,5
mantap,5
"apaan nih aplikasi makin ke sini makin ga jelas,, order dr jam brpa sampe jam segini driver pda ga ada mau ambil orderan pihak aplikatornya jga sadis kita bayar berpa ke aplikasi yg driver dpet argonya brpa,, tolong d benerin lg management nya gojek",1
"maaf, layanan tidak jelas, terlalu lambat, maksudnya butuh 3 hari buat nunggu tuh gmn ya? no telp juga susah ditemuin, pas ketemu, mau langsung nelp ke costumer service aja susah, gk langsung di sambungin ke org di sana, jangan bilang mau mengurangi tenaga kerja ya, ini termasuk perusahaan besar loh.",1
aplikasi gojek kalau pesan makan d gofood nya kok lama kali y skrg harus tunggu 1 jam padahal pakai mode cepat kesal kali,1
"Gajelas banget skarang ni aplikasi, mesen makanan dh nunggu 58 menit, dicancel gitu aja dri aplikasi, gk mikir apa orang dh lapar nunggu!!!!!",1
"mohon lah beri kejelasan, kenapa saya Nambung emas di aplikasi gojek di goinvestasi yang awalnya emas saya 1,8gram dan pas tanggal 1 Desember 2025 emas saya berkurang menjadi 1,79gram dan saya cek transaksi nya jual emas padahal saya nggak ada jual emas sama sekali namun status transaksi undefined dan saya kira cuma sekali itu saja, tapi terjadi lagi untuk keduanya kalinya di tanggal 1 Januari 2026 emas saya berkurang menjadi 1,78gram dan transaksi nya sama jual emas namun statusnya uderfined",1
alhamdulilah nemu driver yg baik2.Terima kasih gojek mengantar saya dengan selamat di tahun 2025. Tetap setia pakai gojek ditahun 2026.,5
"Jadi ngak respek sm Gojek,, chat CS malah boot yg jawab. taeelah...Males pake lagi",1
Keren 👍🏻👍🏻,5
banyak derama lama lagi kata cepet kurang sih,1
oke,5
Sistem Pencarian Drivernya Bobrok Sekali,1
"terlalu lama mencarikan driver untuk gofood, sehingga menghabis2kan waktu karena tidak bisa dibatalkan sangking lamanya",1
akses transportasi jadi mudah,5
knp mau login harus scan muka.. tetapi ktika sudah scan malah tidak bisa. tidak jelas!,1
mantap,5
"kalau sulit dapat driver, seharus nya jangan kasi waktu nunggu 1 jam lah, jadi kalau gak dapat bisa batalin coba pesan yg lain, sistem begini habisin waktu jam makan saja karna ujung2 nya zonk gak dapat apa2",3
susah banget dapat driver bikin orang kesel aja,1
pengiriman e sip,5
"sudah berapa kali saya mesan gofood atau gojeknya, alamat rumah udh bener tapi malah dari servernya ngasih patokan jauh dari rumah, bisa lebih dari 100 m lagi",2
"Pesanan gofood dengan aplikasi terlama dibandingkan yg lainnya...pesan makanan selalu nunggi 2 jam bru dpt driver, itupun blm tentu dapat. harga jg mahal...aplikasi terburuk yg pnh ada.",1
aplikasi gak berguna,1
kenapa gak bisa cancel order gofood? padahal kalian lama banget kasih driver. ini gak guna lagi saya pesen gofood udah beli sendiri. bobrok bgt,1
ok,5
good job,5
"ini tiba² ga bisa akses foto dr galeri ya? cm bisa akses kamera doang sebeell, masa tiap mau kirim foto rumah harus fotoin dulu ke depan rumah!!! apaan sih nihh ayolaahh lebih canggih lagii",2
"kalau bisa sih ketika ada pesanan yg susah dpt driver,mnding auto cancel aja min",4
ini kenapa cari driver susah banget sih? Udah pesan express masih aja telat,1
"dulu suka banget pakai gojek , apalagi ada paylater meski hanya dpt nominal kecil 300 rb, eh stlh disuruh upgrade, sampai skrg selalu ditolak klo mengajukan paylater, jd maaf sy ubah penilaian sy ttg gojek 🙏🙏🙏 yg semula bintang 5 skrg sy ubah jd bintang 1",1
baik,5
👍🫰,5
UI nya skrg jelek banget..biaya mahal skrg,1
driver ga ada yg ngambil pesanan samsek,1
"pesan gofood, udah nunggu lama, sering benar di cancel sepihak",1
bagus tepat waktu,5
oke,5
sangat buruk buat ordr makanan nggu lama satu jam ujung2 ngm dapat driver. seblmnya d cancel susah harus nggu berjam jam baru bisa d cancel perut kelaparan pun ngk juga datang. begitupun ganti restoran sama gitu juga.... 😡,2
"perbanyak lagi driver lu, masa nunggu sejam baru dapat driver goride",2
Hidup di buat mudah dengan aplikasi gojek,5
aplikasi bermanfaat sangat membantu,5
mesan gofood kagak ada drivernya nunggu mau batalin lama parah,1
Top Markotop,5
"kenapaaaaa pas perpanjang gojek plus tidak ada notifikasi sihhh?????,jadi uang saya ke pake, padahal saya jarang menggunakan gojek pluss, g bisa di kembaliiinnnnn lagi uang nya😡. SANGAT KECEWA",1
Solusi bepergian di saat macet,5
alhmdulillah bagus...,5
lumayan,3
bagus,5
"tolong Banget cari driver nya itu loh lama banget, aku bisa maklumin kalau hujan tapi ini gk hujan sama sekali dia stuck di situ situ aja ampe penyakit kambuh juga gk bakal datang",2
bagus si.......... cuman ada yg kurang hehee,5
baguss,5
biaya penanganannya lebih mahal daripada ongkir. gila sih. cukup sekian deh. ganti ke apk sebelah lebih murah. gojek (gofood) dh ga ngotak biaya nya,1
keren,5
aplikasii selaluu terjadii gangguann,1
"harus nunggu 10enit baru dapat driver,, dan di surub nambah ongskus lgi biar cepat dpt driver. jelek.mending pakai aplikaai kuning",1
good banget,5
"sya kasih rate satu krna sngat2 mengenaskan bagi para drivernya,,,,,TOLONG pihak perusahaan untuk menegur dengan etis kpd para DRIVER YG berada didaerah jatim terutama Surabaya dan Gresik!! untuk berprilaku sopan santun serta etika kpd konsumen, saya Dua kli digresik naik GOCAR mndpati driver yg marah2 tidak sopan hanya hal yg spele yg skrirnya itu mnjdi prioritas konsumen tapi malah marah2 gjelas!? kdua digresik juga ini sya mndpari driver yg tidaK sabaran, bda dgan INDRIVE DAN MAXIM JGN MNTNG2",1
okay,5
sumpah sakit hati banget 2 kali order 2 jam gw nunggu pesanan makanan gw gak Dateng Dateng tulisan nya sedang mencari driver trus tiba tiba pesan di batalkan fix gw gak bakal rekomendasikan gojek ke temen temen gw sorry - gini ya lu punya apk gak mau di cancel dadakan makanya kasih waktu ke Cust 50-60menit menunggu - sedangkan Cust sudah nunggu lama berharap setelah 50-60menit bisa langsung makan tiba tiba lu cancel MANUSIA MANA YG GAK SAKIT HATI MANA KONDISI UDAH LAPER NUNGGU LAMA TRUS LU CCEL,1
driver ramah...berkendara dengan baik...hanya untuk wilayah cangkringan Sleman kurang jangkauan,5
sesuai keperluan...,5
ngebantu banget,5
ok,5
"masih ada aja driver yang malak² penumpang, sengaja minta saya cancel orderan pas ditengah perjalanan yang tadinya seharusnya bayar pakai promo 27.500 jdi bayar 40.000",1
gooood,5
aplikasi terbaik dari yang terbaik🤓👍🏽,5
sangat baik,5
Alhamdulillah beruntung bngt pke aplikasi gojek🤲🥰🫶🤗🙏,5
"jelek, nunggu lama",1
Mantappp,5
maksii suda membantu kamii🙏,5
baguss,5
good,5
jos,5
"sorry ya deh drivernya pada minim attitude banget, apalagi driver gocarnya, padahal kita bayar loh",2
"jingan gua mesen gofood ,driver udh info resto tutup ,masih gabis di cancel kasihan driver nya gblk",1
ok,4
pelayanan sangat baik,5
aplikasi gojek sangat membantu,5
"bagus,,puas",5
sangat memuaskan layanan gojek,5
good job,5
Wow,5
"pengalaman yang sangat menjengkelkan, lagi laper banget udah nungguin sejam lebih malah di cancel karna gak dapet driver harusnya gojek lebih ketat lagi penerimaan mitranya, sok banget pada cancel semua",1
mantulll,5
BAGUS SI,5
cari driver lama banget sampe nunggu satu jam gua,1
ok,5
aku mau unstal aja gojek nya gak ada yang mau gerak,1
untuk di pulau jawa trbantu bgtt tpi buat kita yg di pulau timur tuh ckup susah yah bahkan nunggu makanan dan driver bisa smpe 4 jm sendiri semoga bisa di tingkatkan lagi yah baik dari kualitas pengiriman dan driver,3
ga bisa di gunakan,1
oke sangat bangus,5
"Tolong di evaluasi lgi ongkir gofood nya buat driver..jgn kasih driver ongkir 5000 😇 sy pesen gofood sering di cancel driver,karena ongkir murah..pelayanan gojek makin RUSAK KLO BEGINI !! HARGAI LAH ASET KALIAN,JGN CARI UNTUNG TERLALU BESAR.",1
"aplikasi gaje cuma mau login aja susah nya minta ampun, masukin otp sudah bener salah Mulu, ketika ganti otp malah di suruh nunggu 60 menit, kacau dah",1
"NYARI DRIVER SUSAHNYA MINTA AMPUN PADA GAMAU DAPET ORDERAN DRIVERNYA KEBANYAKAN MILIH"" TARIF, PADAHAL TARIF YG NENTUIN APLIKASI!!!",1
"kenapa gojek sekarang susah banget nyari driver? mana nunggu cancel nya lama banget, udah make express tetep aja gapernah dpt driver, bukan 1/2 x aja kaya gini, tolong ya pihak gojek",1
sngat bagus,5
bagus sekali,5
mantul,5
terima kasih gojek,5
ssiipp,5
jelek,1
bagusss,5
"Minta tolong perbaiki, dikarenakan telpon driver pertama nyangkut di driver ke 2, jadi di aplikasi telpon gojek saling bertabrakan dan membuat binggung driver ke 2.",1
Ok,5
"Bagus, berguna di saat tepat",5
bagus,5
ok lah,4
sangat membantu 👍,5
jago dlm transportasi,5
Memudahkan,5
mantaffff bedulll,5
semoga tahun 2026 gojek berjaya,5
adanya fasum online memudahkan saya untuk bepergian,5
melayani dgn baik dan mudah,5
"Penanganan akan case masalah pengiriman tidak baik, respon customer care lamban hampir 20 menit saya menunggu di chat room namun tidak ada tanggapan & solusi yang solutif. Buruk sekali tidak ada komunikasi sampai mana penanganan casenya, estimasi penangannya berapa lama tidak diinformasikan dan mengabaikan chat pelaporan customer. setidaknya diinformasikan atau setidaknya balas jika memang masih membutuhkan waktu untuk pengecekan atau membutuhkan waktu untuk konfirmasi kepada driver terkait.",1
ok banget,4
orderan gofood nya boleh deh di cantumin outlet yang berlabel halal,5
bagus,5
ok bg selalu ramah sama konsumen smangat,5
mantap,5
sangat evesions,5
APK go jek membantu memperlancar aktivitas kami.,5
naik gojek ....aman dan tepat waktu,5
Bagus,5
Nice bgt pokoknya,5
sangat baik,5
ok,5
haduhh..tolong perbaiki versi ini deh. cuma mau review tarif n lokasi malah hampir booking untung bisa segera ku cancel..yg versi lama lebih enak..yg ini bikin bingung,1
Mantaap Good,5
senang,5
tidak bisa berkata apa-apa pokoknya aplikasinya luar biasa gojek menyala bossku,5
"akun saya di blokir , padahal mau order gojek , ga jelas banget ni apk",1
"payah bgt dah saya dulu driver di gojek, dan pakai aplikasi gojek sudah lama, tapi sampai sekarang saya tidak mendapatkan yang nama nya gopaylater dan gopaypinjam",1
ok,5
👍🏿👍🏿👍🏿,5
oke,5
cepat.banyak promo,5
"kenapa ya skg cari driver food susah area semarang.udah sering banget seperti ini. kualitas gofood gak seperti dulu. dulu hujan badai driver ambil,sekarang boro2.bahkan pihak resto harus nunggu berjam2 akhirnya gak ada kepastian.",1
"Tolong dihapus aja gofoodnya, nunggu cari driver ko sampe 1 jam, tolonglah agak dikaji kembali waktu maksimal pencarian drivernya.",1
"perbaiki sistem pencarian drivernya, masa udah dapet driver dia bisa cancel dan sekarang user harus nunggu sejam baru bisa nganter orderan. buat agar driver bisa mengecek orderan sebelum mengambil orderannya, jadinya adil driver bisa ngecek orderan sblm di ambil dan user jadi g perlu nunggu lama utk cari driver yg baru",1
membantu sekali,5
"Gila ga ngotak banget, pulang kerja yg biasanya ongkos 20ribu doang, mendadak di getok jadi 105k sama aplikasinya padahal waktu di cek 20k, setelah isi gopay ke refresh sendiri harga berubah drastis ga masuk akal, kecewa berat, gajelassssss !!!!",1
